UP000000212	GCA_000317975.2
UP000077073	GCA_001639925.1
UP000077074	GCA_001636945.1
UP000077086	GCA_001632445.1
UP000077099	GCA_001635005.1
UP000077115	GCA_000149865.1
UP000077127	GCA_001635535.1
UP000077134	GCA_001637335.1
UP000077137	GCA_001635285.1
UP000077143	GCA_001644575.1
UP000077151	GCA_001635795.1
UP000077164	GCA_001637185.1
UP000077177	GCA_001644645.1
UP000077184	GCA_001635445.1
UP000077202	GCA_001641455.1
UP000077206	GCA_001644525.1
UP000077212	GCA_001641065.1
UP000077245	GCA_001639295.1
UP000077248	GCA_001642055.1
UP000077255	GCA_001641285.1
UP000077266	GCA_001632375.1
UP000077275	GCA_001639285.1
UP000077315	GCA_001638985.2
UP000077317	GCA_001642085.1
UP000077319	GCA_001635465.1
UP000077323	GCA_001634785.1
UP000077326	GCA_001635685.1
UP000077333	GCA_001642945.1
UP000077342	GCA_001632895.1
UP000077355	GCA_001637225.1
UP000077363	GCA_001644565.1
UP000077372	GCA_001643775.1
UP000077381	GCA_001642995.1
UP000077382	GCA_001635715.1
UP000077385	GCA_001644685.1
UP000077403	GCA_001641345.1
UP000077404	GCA_001637395.1
UP000077405	GCA_001639105.1
UP000077412	GCA_001642935.2
UP000077428	GCA_001639275.1
UP000077448	GCA_001077375.1
UP000077495	GCA_001652565.1
UP000077507	GCA_001652485.1
UP000077519	GCA_001645385.1
UP000077532	GCA_001644455.1
UP000077535	GCA_001644535.1
UP000077545	GCA_001648895.1
UP000077549	GCA_001645185.1
UP000077623	GCA_001645765.1
UP000077650	GCA_001644255.1
UP000077654	GCA_001648115.1
UP000077667	GCA_001654455.1
UP000077673	GCA_001647195.1
UP000077684	GCA_001645045.1
UP000077701	GCA_001653075.1
UP000077755	GCA_001625215.1
UP000077824	GCA_001648155.1
UP000077845	GCA_001647635.1
UP000077868	GCA_001653335.1
UP000077875	GCA_001648175.1
UP000077910	GCA_001644495.1
UP000077995	GCA_001644275.1
UP000078046	GCA_001642005.1
UP000078070	GCA_001651805.1
UP000078084	GCA_000988095.1
UP000078113	GCA_001645055.1
UP000078116	GCA_001645125.1
UP000078138	GCA_001644125.1
UP000078145	GCA_001653115.1
UP000078148	GCA_001421015.2
UP000078154	GCA_001653795.1
UP000078200	GCA_000688735.1
UP000078223	GCA_001650895.1
UP000078237	GCA_001275765.2
UP000078252	GCA_001475545.1
UP000078263	GCA_001663175.1
UP000078281	GCA_001657615.1
UP000078292	GCA_001657475.1
UP000078304	GCA_001658005.1
UP000078308	GCA_001659705.1
UP000078317	GCA_001650795.1
UP000078320	GCA_001644405.1
UP000078322	GCA_001650725.1
UP000078325	GCA_001653825.1
UP000078340	GCA_001653265.1
UP000078343	GCA_001651985.1
UP000078346	GCA_001657585.1
UP000078348	GCA_001651215.1
UP000078389	GCA_001650025.1
UP000078390	GCA_001652585.1
UP000078396	GCA_001650495.1
UP000078397	GCA_001653235.2
UP000078428	GCA_001650715.1
UP000078445	GCA_001650735.1
UP000078455	GCA_001650955.1
UP000078459	GCA_001652725.1
UP000078460	GCA_001586395.2
UP000078470	GCA_001653515.1
UP000078476	GCA_001644015.1
UP000078479	GCA_001650875.1
UP000078486	GCA_001650175.1
UP000078492	GCA_001594075.1
UP000078495	GCA_001657575.1
UP000078500	GCA_001644245.1
UP000078503	GCA_001650345.1
UP000078507	GCA_001651875.1
UP000078512	GCA_001651415.1
UP000078514	GCA_001650905.1
UP000078516	GCA_001652875.1
UP000078529	GCA_001475935.1
UP000078532	GCA_001655685.1
UP000078534	GCA_001654695.1
UP000078540	GCA_001594045.1
UP000078541	GCA_001594115.1
UP000078542	GCA_001594065.1
UP000078543	GCA_001650635.1
UP000078544	GCA_001636675.1
UP000078550	GCA_900088545.1
UP000078558	GCA_900089455.1
UP000078559	GCA_000818155.1
UP000078560	GCA_900088565.1
UP000078561	GCA_900079185.1
UP000078571	GCA_001664005.1
UP000078576	GCA_000813385.1
UP000078582	GCA_001663675.1
UP000078595	GCA_000512565.2
UP000078596	GCA_001663815.1
UP000078597	GCA_900088575.1
UP000078600	GCA_001664505.1
UP000091820	GCA_000671755.1
UP000091879	GCA_001662575.1
UP000091910	GCA_001665575.1
UP000091918	GCA_001660665.1
UP000091926	GCA_001676725.1
UP000091934	GCA_001665255.1
UP000091956	GCA_001662655.1
UP000091967	GCA_001675295.1
UP000091969	GCA_001675355.1
UP000091979	GCA_001672295.1
UP000091997	GCA_001662585.1
UP000092024	GCA_001675045.1
UP000092025	GCA_001667505.1
UP000092027	GCA_001668615.1
UP000092060	GCA_001665395.1
UP000092086	GCA_001666815.1
UP000092096	GCA_001662605.1
UP000092097	GCA_001672075.1
UP000092124	GCA_001675575.1
UP000092151	GCA_001672895.1
UP000092152	GCA_001668725.1
UP000092154	GCA_001658105.1
UP000092157	GCA_001662595.1
UP000092164	GCA_001673755.1
UP000092171	GCA_001667035.1
UP000092207	GCA_001672575.1
UP000092212	GCA_001668625.1
UP000092213	GCA_001676745.1
UP000092232	GCA_001673405.1
UP000092248	GCA_001666755.1
UP000092258	GCA_001669775.1
UP000092275	GCA_001644445.1
UP000092291	GCA_001673155.1
UP000092314	GCA_001667265.1
UP000092321	GCA_001664025.1
UP000092325	GCA_001672815.1
UP000092341	GCA_001672305.1
UP000092343	GCA_001673765.1
UP000092382	GCA_001672165.1
UP000092392	GCA_001665235.1
UP000092403	GCA_001587575.1
UP000092443	GCA_000671735.1
UP000092444	GCA_001077435.1
UP000092445	GCA_000688715.1
UP000092460	GCA_000818775.1
UP000092461	GCA_000265325.1
UP000092462	GCA_000262795.1
UP000092482	GCA_001685415.1
UP000092483	GCA_001687105.1
UP000092484	GCA_001677335.1
UP000092496	GCA_001687065.1
UP000092498	GCA_001679665.1
UP000092504	GCA_001678785.1
UP000092525	GCA_001688705.2
UP000092544	GCA_900089775.1
UP000092553	GCA_001277935.1
UP000092555	GCA_001664035.1
UP000092565	GCA_001678945.1
UP000092573	GCA_001685395.1
UP000092574	GCA_001689125.2
UP000092582	GCA_001679725.1
UP000092583	GCA_000507885.2
UP000092584	GCA_001680885.1
UP000092598	GCA_001685355.1
UP000092600	GCA_001661175.1
UP000092605	GCA_001584565.1
UP000092607	GCA_001679225.1
UP000092612	GCA_001680875.1
UP000092616	GCA_001678995.1
UP000092622	GCA_001685665.2
UP000092623	GCA_001682865.1
UP000092627	GCA_900089755.1
UP000092631	GCA_001688725.2
UP000092640	GCA_001688905.2
UP000092649	GCA_001678495.1
UP000092657	GCA_001682855.1
UP000092666	GCA_000507405.3
UP000092668	GCA_001679965.1
UP000092671	GCA_001679155.1
UP000092673	GCA_001685035.1
UP000092683	GCA_001686745.1
UP000092695	GCA_001677435.1
UP000092698	GCA_001687545.1
UP000092701	GCA_001677375.1
UP000092703	GCA_001688665.2
UP000092705	GCA_001678675.1
UP000092708	GCA_001677935.1
UP000092714	GCA_001679805.1
UP000092715	GCA_001682195.1
UP000092716	GCA_001680005.1
UP000092728	GCA_001678665.1
UP000092730	GCA_000512585.2
UP000092809	GCA_900090215.1
UP000092884	GCA_001693335.1
UP000092926	GCA_001698125.1
UP000092932	GCA_001698205.1
UP000092947	GCA_001693615.1
UP000092952	GCA_001697225.1
UP000092967	GCA_001697185.1
UP000092968	GCA_001695755.1
UP000092993	GCA_001683735.1
UP000093000	GCA_001683725.1
UP000093049	GCA_001691715.2
UP000093080	GCA_001687335.1
UP000093090	GCA_900067035.1
UP000093101	GCA_001683795.1
UP000093111	GCA_001687365.1
UP000093159	GCA_001695265.1
UP000093173	GCA_001691155.1
UP000093186	GCA_001693415.1
UP000093199	GCA_001700315.1
UP000093281	GCA_001695335.1
UP000093309	GCA_001700435.1
UP000093314	GCA_001698425.1
UP000093320	GCA_001692325.1
UP000093334	GCA_001698445.1
UP000093352	GCA_001693775.1
UP000093355	GCA_001689915.1
UP000093391	GCA_001704115.1
UP000093409	GCA_001695645.1
UP000093490	GCA_001695555.1
UP000093501	GCA_001693815.1
UP000093510	GCA_001686945.1
UP000093512	GCA_001704295.1
UP000093514	GCA_001693735.1
UP000093585	GCA_001673705.1
UP000093592	GCA_001672775.1
UP000093629	GCA_001673315.1
UP000093657	GCA_001675455.1
UP000093719	GCA_001672315.1
UP000093744	GCA_001665755.1
UP000093802	GCA_001673675.1
UP000093807	GCA_001662485.1
UP000093953	GCA_001667455.1
UP000094020	GCA_000512605.2
UP000094024	GCA_001698915.1
UP000094043	GCA_001720195.1
UP000094044	GCA_001725215.1
UP000094056	GCA_001723765.1
UP000094058	GCA_001723845.1
UP000094061	GCA_001724695.1
UP000094062	GCA_001724425.1
UP000094065	GCA_001720205.1
UP000094070	GCA_000286955.2
UP000094076	GCA_001730015.1
UP000094080	GCA_001720465.1
UP000094087	GCA_001723855.1
UP000094094	GCA_001729485.1
UP000094112	GCA_001661255.1
UP000094137	GCA_001703975.1
UP000094151	GCA_001725615.1
UP000094158	GCA_001724655.1
UP000094164	GCA_001730085.1
UP000094165	GCA_000272145.2
UP000094168	GCA_001713355.1
UP000094170	GCA_001725355.1
UP000094174	GCA_001722415.1
UP000094176	GCA_001722445.1
UP000094183	GCA_001725175.1
UP000094218	GCA_001724995.1
UP000094224	GCA_001722325.1
UP000094232	GCA_001724935.1
UP000094236	GCA_001661245.1
UP000094238	GCA_001725135.1
UP000094243	GCA_001722355.1
UP000094247	GCA_001724115.1
UP000094256	GCA_001717955.1
UP000094259	GCA_001728865.1
UP000094269	GCA_001705665.1
UP000094279	GCA_001713395.1
UP000094285	GCA_001661415.1
UP000094291	GCA_001709345.1
UP000094295	GCA_001707915.1
UP000094296	GCA_001730225.1
UP000094313	GCA_001721645.1
UP000094318	GCA_001735715.1
UP000094329	GCA_001720395.1
UP000094332	GCA_001724295.1
UP000094336	GCA_001661335.1
UP000094340	GCA_001725345.1
UP000094342	GCA_001723275.1
UP000094354	GCA_001724905.1
UP000094370	GCA_001705075.1
UP000094377	GCA_001717545.1
UP000094378	GCA_001715535.1
UP000094385	GCA_001661325.1
UP000094389	GCA_001661405.1
UP000094396	GCA_001724395.1
UP000094412	GCA_001705425.1
UP000094427	GCA_001725715.1
UP000094432	GCA_001724775.1
UP000094435	GCA_001704055.1
UP000094436	GCA_001724095.1
UP000094444	GCA_001702395.1
UP000094452	GCA_001725945.1
UP000094455	GCA_001661235.1
UP000094463	GCA_001721685.1
UP000094466	GCA_001703985.1
UP000094468	GCA_001742785.1
UP000094472	GCA_001723305.1
UP000094474	GCA_001724025.1
UP000094479	GCA_001590865.1
UP000094487	GCA_001721295.1
UP000094492	GCA_001725485.1
UP000094501	GCA_001723285.1
UP000094509	GCA_001718795.1
UP000094520	GCA_001704065.1
UP000094526	GCA_001700775.1
UP000094527	GCA_001718145.1
UP000094540	GCA_001724735.1
UP000094541	GCA_001724275.1
UP000094542	GCA_001724645.1
UP000094543	GCA_001724615.1
UP000094569	GCA_001717485.1
UP000094578	GCA_001721045.1
UP000094599	GCA_001724215.1
UP000094615	GCA_001724485.1
UP000094622	GCA_001720135.1
UP000094631	GCA_001725155.1
UP000094635	GCA_001725205.1
UP000094636	GCA_001724675.1
UP000094639	GCA_001724715.1
UP000094646	GCA_001725465.1
UP000094652	GCA_001735765.1
UP000094656	GCA_001712855.1
UP000094661	GCA_001725535.1
UP000094668	GCA_001729625.1
UP000094681	GCA_001725525.1
UP000094689	GCA_001713455.1
UP000094702	GCA_001729995.1
UP000094707	GCA_900095295.1
UP000094728	GCA_001730065.1
UP000094735	GCA_001724175.1
UP000094736	GCA_001729285.1
UP000094742	GCA_001724955.1
UP000094750	GCA_001735745.1
UP000094760	GCA_001714725.1
UP000094769	GCA_001715975.1
UP000094795	GCA_001703635.1
UP000094801	GCA_001661425.1
UP000094839	GCA_001725765.1
UP000094862	GCA_001724575.1
UP000094877	GCA_001704385.2
UP000094878	GCA_001724515.1
UP000094893	GCA_001705645.1
UP000094899	GCA_001724555.1
UP000094930	GCA_001724045.1
UP000094936	GCA_001707825.1
UP000094976	GCA_001722345.1
UP000094989	GCA_001725505.1
UP000095005	GCA_001724605.1
UP000095009	GCA_001661315.1
UP000095023	GCA_001661475.1
UP000095024	GCA_001724505.1
UP000095036	GCA_001717465.1
UP000095038	GCA_001661345.1
UP000095042	GCA_001723295.1
UP000095053	GCA_001725555.1
UP000095070	GCA_001709035.1
UP000095085	GCA_001661395.1
UP000095087	GCA_001708935.1
UP000095089	GCA_001725325.1
UP000095094	GCA_001730305.1
UP000095113	GCA_001705515.1
UP000095125	GCA_001723835.1
UP000095151	GCA_001725235.1
UP000095192	GCA_000769155.2
UP000095197	GCA_001748365.1
UP000095200	GCA_001748225.1
UP000095208	GCA_001748465.1
UP000095209	GCA_001742425.1
UP000095210	GCA_001747425.1
UP000095228	GCA_001746835.1
UP000095237	GCA_001730735.1
UP000095245	GCA_001742745.1
UP000095255	GCA_001742305.1
UP000095256	GCA_001742285.1
UP000095280	GCA_001188465.1
UP000095281	GCA_000172435.1
UP000095282	GCA_000186765.1
UP000095283	GCA_000223415.1
UP000095284	GCA_000231135.1
UP000095285	GCA_000183805.3
UP000095286	GCA_000944355.1
UP000095287	GCA_000757755.1
UP000095300	GCA_001015335.1
UP000095301	GCA_000371365.1
UP000095322	GCA_900039485.1
UP000095329	GCA_000478605.2
UP000095347	GCA_001746755.1
UP000095349	GCA_001750785.1
UP000095383	GCA_001749735.1
UP000095403	GCA_900079405.3
UP000095472	GCA_001746915.1
UP000095477	GCA_900044015.1
UP000095488	GCA_001404895.1
UP000095530	GCA_001747705.1
UP000095552	GCA_001747105.1
UP000095594	GCA_001405015.1
UP000095601	GCA_001747495.1
UP000095605	GCA_001749795.1
UP000095658	GCA_001750285.1
UP000095665	GCA_900048035.1
UP000095691	GCA_001747095.1
UP000095705	GCA_001746425.1
UP000095713	GCA_001747085.1
UP000095722	GCA_001406355.1
UP000095728	GCA_001747045.1
UP000095743	GCA_001750685.1
UP000095751	GCA_001750085.1
UP000095759	GCA_001746415.1
UP000095767	GCA_001633215.2
UP000095774	GCA_001405915.1
UP000110813	GCA_001646235.1
UP000115085	GCA_000851685.1
UP000118514	GCA_000891275.1
UP000123759	GCA_002118825.1
UP000127390	GCA_000879015.1
UP000127404	GCA_000868965.1
UP000138647	GCA_001343745.1
UP000139255	GCA_000864605.1
UP000143088	GCA_000931135.1
UP000150550	GCA_001646375.1
UP000158570	GCA_001698295.1
UP000159394	GCA_000884335.1
UP000160764	GCA_000852065.1
UP000162892	GCA_000893535.1
UP000164342	GCA_001432155.1
UP000166289	GCA_000847805.1
UP000171565	GCA_000943665.1
UP000175580	GCA_001751015.1
UP000175621	GCA_001758425.2
UP000175651	GCA_001750945.1
UP000175662	GCA_001750905.1
UP000175667	GCA_001752365.1
UP000175669	GCA_001758195.1
UP000175679	GCA_001752665.1
UP000175691	GCA_001757105.1
UP000175708	GCA_001751205.1
UP000175712	GCA_001750915.1
UP000175744	GCA_001758365.1
UP000175748	GCA_001751005.1
UP000175826	GCA_001758225.1
UP000175829	GCA_001751375.1
UP000175834	GCA_001714685.2
UP000175879	GCA_001750985.1
UP000175880	GCA_001761425.1
UP000175883	GCA_001753795.1
UP000175905	GCA_001753645.1
UP000175943	GCA_001751155.1
UP000175965	GCA_001750925.1
UP000176005	GCA_001751255.1
UP000176030	GCA_001751085.1
UP000176037	GCA_001758465.1
UP000176050	GCA_001761325.1
UP000176077	GCA_001751115.2
UP000176087	GCA_001751365.1
UP000176100	GCA_001751225.1
UP000176101	GCA_001751245.1
UP000176103	GCA_001751065.1
UP000176185	GCA_001775485.1
UP000176186	GCA_001779455.1
UP000176187	GCA_001787035.1
UP000176192	GCA_001786225.1
UP000176194	GCA_001767945.1
UP000176197	GCA_001787315.1
UP000176198	GCA_001791815.1
UP000176209	GCA_001798425.1
UP000176214	GCA_001767135.1
UP000176215	GCA_001799695.1
UP000176218	GCA_001797035.1
UP000176220	GCA_001803765.1
UP000176221	GCA_001822655.1
UP000176233	GCA_001779915.1
UP000176235	GCA_001790245.1
UP000176241	GCA_001817305.1
UP000176244	GCA_001766835.1
UP000176246	GCA_001803815.1
UP000176249	GCA_001782165.1
UP000176250	GCA_001794905.1
UP000176251	GCA_001766675.1
UP000176252	GCA_001804395.1
UP000176253	GCA_001779205.1
UP000176256	GCA_001800015.1
UP000176260	GCA_001817265.1
UP000176268	GCA_001770475.1
UP000176269	GCA_001788235.1
UP000176273	GCA_001779505.1
UP000176275	GCA_001798355.1
UP000176276	GCA_001799975.1
UP000176282	GCA_001784275.1
UP000176284	GCA_001818705.1
UP000176287	GCA_001818615.1
UP000176288	GCA_001856685.1
UP000176289	GCA_001784735.1
UP000176290	GCA_001797285.1
UP000176294	GCA_001816145.1
UP000176299	GCA_001816635.1
UP000176300	GCA_001784365.1
UP000176303	GCA_001791115.1
UP000176304	GCA_001828265.1
UP000176308	GCA_001821945.1
UP000176309	GCA_001779875.1
UP000176317	GCA_001776315.1
UP000176322	GCA_001779595.1
UP000176329	GCA_001782815.1
UP000176335	GCA_001798415.1
UP000176336	GCA_001776945.1
UP000176338	GCA_001783275.1
UP000176339	GCA_001779975.1
UP000176340	GCA_001804165.1
UP000176341	GCA_001828925.1
UP000176344	GCA_001799285.1
UP000176348	GCA_001802865.1
UP000176349	GCA_001818535.1
UP000176355	GCA_001822705.1
UP000176362	GCA_001801465.1
UP000176364	GCA_001776115.1
UP000176366	GCA_001807545.1
UP000176367	GCA_001830365.1
UP000176370	GCA_001801435.1
UP000176375	GCA_001775365.1
UP000176376	GCA_001789935.1
UP000176377	GCA_001781475.1
UP000176380	GCA_001802485.1
UP000176389	GCA_001816715.1
UP000176392	GCA_001798835.1
UP000176395	GCA_001824685.1
UP000176396	GCA_001770425.1
UP000176404	GCA_001793025.1
UP000176406	GCA_001821485.1
UP000176409	GCA_001781025.1
UP000176413	GCA_001784255.1
UP000176420	GCA_001818815.1
UP000176421	GCA_001820145.1
UP000176423	GCA_001785875.1
UP000176424	GCA_001773775.1
UP000176429	GCA_001821245.1
UP000176430	GCA_001820325.1
UP000176431	GCA_001775785.1
UP000176442	GCA_001775775.1
UP000176444	GCA_001772585.1
UP000176445	GCA_001779685.1
UP000176448	GCA_001772105.1
UP000176450	GCA_001779335.1
UP000176451	GCA_001776145.1
UP000176452	GCA_001796015.1
UP000176459	GCA_001802645.1
UP000176461	GCA_001800665.1
UP000176462	GCA_001797815.1
UP000176466	GCA_001830985.1
UP000176470	GCA_001824605.1
UP000176479	GCA_001787085.1
UP000176481	GCA_001774235.1
UP000176484	GCA_001786735.1
UP000176487	GCA_001784175.1
UP000176490	GCA_001800395.1
UP000176492	GCA_001772965.1
UP000176494	GCA_001823025.1
UP000176497	GCA_001769655.1
UP000176498	GCA_001817255.1
UP000176501	GCA_001791725.1
UP000176503	GCA_001801815.1
UP000176504	GCA_001772695.1
UP000176506	GCA_001798005.1
UP000176510	GCA_001820725.1
UP000176511	GCA_001781205.1
UP000176512	GCA_001817575.1
UP000176513	GCA_001766895.1
UP000176519	GCA_001769375.1
UP000176526	GCA_001769635.1
UP000176527	GCA_001777095.1
UP000176529	GCA_001797865.1
UP000176532	GCA_001782975.1
UP000176538	GCA_001804785.1
UP000176540	GCA_001802405.1
UP000176544	GCA_001817795.1
UP000176547	GCA_001779845.1
UP000176549	GCA_001787855.1
UP000176551	GCA_001831115.1
UP000176554	GCA_001800235.1
UP000176557	GCA_001800945.1
UP000176558	GCA_001824235.1
UP000176560	GCA_001768085.1
UP000176561	GCA_001769195.1
UP000176562	GCA_001856665.1
UP000176565	GCA_001828435.1
UP000176567	GCA_001796175.1
UP000176568	GCA_001773575.1
UP000176576	GCA_001819785.1
UP000176579	GCA_001784725.1
UP000176581	GCA_001794455.1
UP000176583	GCA_001772805.1
UP000176588	GCA_001803575.1
UP000176591	GCA_001797255.1
UP000176593	GCA_001791455.1
UP000176595	GCA_001829455.1
UP000176596	GCA_001772025.1
UP000176598	GCA_001791225.1
UP000176600	GCA_001805025.1
UP000176603	GCA_001791275.1
UP000176606	GCA_001768245.1
UP000176608	GCA_001772625.1
UP000176609	GCA_001780955.1
UP000176610	GCA_001775995.1
UP000176613	GCA_001805615.1
UP000176614	GCA_001773055.1
UP000176615	GCA_001811625.1
UP000176621	GCA_001803795.1
UP000176623	GCA_001802525.1
UP000176625	GCA_001797695.1
UP000176627	GCA_001828345.1
UP000176628	GCA_001774735.1
UP000176629	GCA_001785855.1
UP000176631	GCA_001816655.1
UP000176632	GCA_001769385.1
UP000176633	GCA_001779575.1
UP000176634	GCA_001783215.1
UP000176635	GCA_001800515.1
UP000176639	GCA_001773975.1
UP000176645	GCA_001816995.1
UP000176648	GCA_001818515.1
UP000176650	GCA_001774085.1
UP000176651	GCA_001772255.1
UP000176652	GCA_001797315.1
UP000176653	GCA_001784115.1
UP000176656	GCA_001797765.1
UP000176658	GCA_001800525.1
UP000176659	GCA_001768795.1
UP000176662	GCA_001819195.1
UP000176665	GCA_001779055.1
UP000176666	GCA_001776415.1
UP000176667	GCA_001829375.1
UP000176668	GCA_001782035.1
UP000176673	GCA_001802085.1
UP000176675	GCA_001816045.1
UP000176677	GCA_001803565.1
UP000176678	GCA_001791475.1
UP000176679	GCA_001770525.1
UP000176680	GCA_001797105.1
UP000176682	GCA_001774615.1
UP000176685	GCA_001800185.1
UP000176688	GCA_001799205.1
UP000176689	GCA_001781555.1
UP000176690	GCA_001803615.1
UP000176691	GCA_001772005.1
UP000176692	GCA_001796945.1
UP000176700	GCA_001819695.1
UP000176705	GCA_001822385.1
UP000176713	GCA_001828665.1
UP000176714	GCA_001781715.1
UP000176715	GCA_001802445.1
UP000176716	GCA_001800025.1
UP000176718	GCA_001768695.1
UP000176720	GCA_001783725.1
UP000176723	GCA_001816915.1
UP000176725	GCA_001793105.1
UP000176726	GCA_001770725.1
UP000176727	GCA_001794935.1
UP000176728	GCA_001802135.1
UP000176731	GCA_001797985.1
UP000176732	GCA_001790455.1
UP000176735	GCA_001775955.1
UP000176738	GCA_001769005.1
UP000176740	GCA_001774995.1
UP000176741	GCA_001792225.1
UP000176745	GCA_001790955.1
UP000176746	GCA_001803205.1
UP000176750	GCA_001769085.1
UP000176752	GCA_001819145.1
UP000176754	GCA_001811895.1
UP000176755	GCA_001821455.1
UP000176763	GCA_001794945.1
UP000176764	GCA_001786475.1
UP000176765	GCA_001770855.1
UP000176770	GCA_001820055.1
UP000176771	GCA_001800605.1
UP000176774	GCA_001820255.1
UP000176778	GCA_001791995.1
UP000176779	GCA_001767695.1
UP000176780	GCA_001776475.1
UP000176783	GCA_001799045.1
UP000176784	GCA_001799535.1
UP000176786	GCA_001779955.1
UP000176787	GCA_001821615.1
UP000176788	GCA_001799425.1
UP000176790	GCA_001796995.1
UP000176791	GCA_001776095.1
UP000176796	GCA_001804305.1
UP000176799	GCA_001790335.1
UP000176800	GCA_001823995.1
UP000176803	GCA_001789595.1
UP000176804	GCA_001798455.1
UP000176805	GCA_001829255.1
UP000176807	GCA_001784635.1
UP000176809	GCA_001805725.1
UP000176810	GCA_001803345.1
UP000176811	GCA_001825635.1
UP000176814	GCA_001785815.1
UP000176815	GCA_001773295.1
UP000176816	GCA_001798265.1
UP000176819	GCA_001828295.1
UP000176825	GCA_001808185.1
UP000176827	GCA_001769245.1
UP000176831	GCA_001799255.1
UP000176834	GCA_001794285.1
UP000176842	GCA_001825595.1
UP000176844	GCA_001803445.1
UP000176849	GCA_001802605.1
UP000176850	GCA_001787945.1
UP000176854	GCA_001779065.1
UP000176855	GCA_001820095.1
UP000176856	GCA_001778315.1
UP000176863	GCA_001781125.1
UP000176864	GCA_001779925.1
UP000176867	GCA_001781915.1
UP000176868	GCA_001825475.1
UP000176873	GCA_001798675.1
UP000176874	GCA_001824645.1
UP000176878	GCA_001805125.1
UP000176884	GCA_001800715.1
UP000176892	GCA_001800735.1
UP000176893	GCA_001794055.1
UP000176897	GCA_001791295.1
UP000176901	GCA_001823235.1
UP000176902	GCA_001777015.1
UP000176903	GCA_001829475.1
UP000176906	GCA_001775255.1
UP000176909	GCA_001804055.1
UP000176911	GCA_001788485.1
UP000176912	GCA_001766975.1
UP000176913	GCA_001799195.1
UP000176914	GCA_001781335.1
UP000176916	GCA_001803225.1
UP000176917	GCA_001825005.1
UP000176923	GCA_001779195.1
UP000176925	GCA_001829675.1
UP000176932	GCA_001791335.1
UP000176938	GCA_001771365.1
UP000176939	GCA_001791965.1
UP000176941	GCA_001782125.1
UP000176949	GCA_001829215.1
UP000176952	GCA_001818775.1
UP000176953	GCA_001828565.1
UP000176958	GCA_001800595.1
UP000176959	GCA_001803075.1
UP000176960	GCA_001814535.1
UP000176965	GCA_001822795.1
UP000176967	GCA_001772955.1
UP000176974	GCA_001819535.1
UP000176976	GCA_001817835.1
UP000176986	GCA_001787285.1
UP000176988	GCA_001791745.1
UP000176992	GCA_001780805.1
UP000176995	GCA_001767685.1
UP000176996	GCA_001781035.1
UP000176997	GCA_001823505.1
UP000176998	GCA_001831195.1
UP000177001	GCA_001785715.1
UP000177002	GCA_001787865.1
UP000177006	GCA_001776045.1
UP000177011	GCA_001793865.1
UP000177017	GCA_001770815.1
UP000177018	GCA_001829505.1
UP000177021	GCA_001798945.1
UP000177022	GCA_001800075.1
UP000177023	GCA_001830555.1
UP000177024	GCA_001801175.1
UP000177025	GCA_001771735.1
UP000177026	GCA_001789355.1
UP000177027	GCA_001789485.1
UP000177035	GCA_001808555.1
UP000177038	GCA_001829075.1
UP000177039	GCA_001776495.1
UP000177040	GCA_001784325.1
UP000177043	GCA_001823065.1
UP000177044	GCA_001824555.1
UP000177049	GCA_001788535.1
UP000177050	GCA_001788355.1
UP000177051	GCA_001775965.1
UP000177052	GCA_001785675.1
UP000177053	GCA_001792005.1
UP000177056	GCA_001798865.1
UP000177057	GCA_001779735.1
UP000177061	GCA_001821655.1
UP000177062	GCA_001817655.1
UP000177067	GCA_001782825.1
UP000177068	GCA_001824005.1
UP000177069	GCA_001774815.1
UP000177074	GCA_001799275.1
UP000177080	GCA_001773695.1
UP000177082	GCA_001793085.1
UP000177083	GCA_001801575.1
UP000177086	GCA_001824355.1
UP000177088	GCA_001791135.1
UP000177091	GCA_001791835.1
UP000177092	GCA_001779235.1
UP000177095	GCA_001790275.1
UP000177100	GCA_001828535.1
UP000177103	GCA_001816975.1
UP000177104	GCA_001801255.1
UP000177105	GCA_001770905.1
UP000177106	GCA_001795115.1
UP000177107	GCA_001781365.1
UP000177109	GCA_001829415.1
UP000177110	GCA_001797615.1
UP000177112	GCA_001785515.1
UP000177114	GCA_001797935.1
UP000177115	GCA_001829395.1
UP000177117	GCA_001794095.1
UP000177122	GCA_001818945.1
UP000177124	GCA_001774865.1
UP000177130	GCA_001820955.1
UP000177133	GCA_001800155.1
UP000177138	GCA_001799735.1
UP000177139	GCA_001800495.1
UP000177140	GCA_001824845.1
UP000177141	GCA_001788195.1
UP000177144	GCA_001796195.1
UP000177147	GCA_001768115.1
UP000177148	GCA_001770345.1
UP000177150	GCA_001770575.1
UP000177156	GCA_001768595.1
UP000177159	GCA_001789435.1
UP000177162	GCA_001798545.1
UP000177165	GCA_001818735.1
UP000177167	GCA_001794335.1
UP000177169	GCA_001792515.1
UP000177170	GCA_001795125.1
UP000177181	GCA_001798885.1
UP000177187	GCA_001774505.1
UP000177188	GCA_001790205.1
UP000177189	GCA_001828595.1
UP000177190	GCA_001821875.1
UP000177194	GCA_001797745.1
UP000177197	GCA_001774135.1
UP000177198	GCA_001788395.1
UP000177199	GCA_001788045.1
UP000177200	GCA_001776015.1
UP000177201	GCA_001828305.1
UP000177202	GCA_001824175.1
UP000177208	GCA_001787935.1
UP000177212	GCA_001767035.1
UP000177215	GCA_001783375.1
UP000177217	GCA_001825675.1
UP000177230	GCA_001777895.1
